system_id,n_obs,n_obs_dedup,n_snapshots,n_vehicles,span_min,poll_s,status,q_hat,q_reliable,linked,terminal,n_grid_gaps,beta_hat,frac_linked_moved,lambda_per_day,mean_obs_per_vehicle,frac_seen_once,persistence_class,n_files
auxrmlevelo,19428,19428,86,325,85.0,60.0,ok,0.0,True,0,90,0,,,0.0,59.78,0.0185,rotating,1
beb,16893,16893,86,209,85.0,60.0,ok,0.956,True,87,4,0,0.069,0.3448,1473.9,80.83,0.0,persistent,1
calais-velos,66969,66969,86,780,85.0,60.0,ok,,False,0,0,0,,,0.0,85.86,0.0,undetermined,1
capcotentin,26413,26413,86,344,85.0,60.0,ok,0.9022,True,249,27,0,0.1727,0.3815,4218.3,76.78,0.0058,persistent,1
citiz_alpes_loire,49130,49130,85,578,85.0,60.0,ok,,False,0,0,1,,,0.0,85.0,0.0,undetermined,1
citiz_angers,3354,3354,86,39,85.0,60.0,ok,,False,0,0,0,,,0.0,86.0,0.0,undetermined,1
citiz_bfc,7310,7310,86,85,85.0,60.0,ok,,False,0,0,0,,,0.0,86.0,0.0,undetermined,1
citiz_grand_est,34000,34000,85,400,85.0,60.0,ok,,False,0,0,1,,,0.0,85.0,0.0,undetermined,1
citiz_grand_poitiers,2150,2150,86,25,85.0,60.0,ok,,False,0,0,0,,,0.0,86.0,0.0,undetermined,1
citiz_la_rochelle,2550,2550,85,30,85.0,60.0,ok,,False,0,0,1,,,0.0,85.0,0.0,undetermined,1
citiz_occitanie,21505,21505,85,253,85.0,60.0,ok,,False,0,0,1,,,0.0,85.0,0.0,undetermined,1
citiz_rennes_metropole,9605,9605,85,113,85.0,60.0,ok,,False,0,0,1,,,0.0,85.0,0.0,undetermined,1
donkey_valenciennes,435,435,87,5,86.0,60.0,ok,,False,0,0,0,,,0.0,87.0,0.0,undetermined,1
idecycle_pau,16734,16734,87,253,86.0,60.0,ok,0.0,True,0,57,0,,,0.0,66.14,0.0237,rotating,1
levelo_inurba_marseille,213085,213085,87,4710,86.0,60.0,ok,0.0,True,0,2133,0,,,0.0,45.24,0.0482,rotating,1
montpellier,22750,22750,87,284,86.0,60.0,ok,0.0,True,0,18,0,,,0.0,80.11,0.0106,rotating,1
nextbike_af,20526,20526,87,411,86.0,60.0,ok,0.0248,True,4,157,0,0.0,0.0,67.0,49.94,0.0219,rotating,1
semo,9024,9024,87,112,86.0,60.0,ok,1.0,True,46,0,0,0.0,0.1087,770.2,80.57,0.0,persistent,1
tanlib,24977,24977,87,305,86.0,60.0,ok,0.9103,True,132,13,0,0.0303,0.3712,2210.0,81.89,0.0,persistent,1
twisto_velolib_caen,24542,24542,87,597,86.0,60.0,ok,0.0,True,0,281,0,,,0.0,41.11,0.0436,rotating,1
velibeo,9650,9650,87,116,86.0,60.0,ok,1.0,True,40,0,0,0.0,0.3,669.7,83.19,0.0,persistent,1
velivert_saint_etienne,50292,50292,87,1075,86.0,60.0,ok,0.0,True,0,453,0,,,0.0,46.78,0.0447,rotating,1
velonecy60minutes_annecy,32785,32785,87,642,86.0,60.0,ok,0.0,True,0,237,0,,,0.0,51.07,0.0421,rotating,1
velopop,11856,11856,87,311,86.0,60.0,ok,0.0,True,0,154,0,,,0.0,38.12,0.0514,rotating,1
velozef,20151,20151,87,416,86.0,60.0,ok,0.0,True,0,171,0,,,0.0,48.44,0.0505,rotating,1
vilvolt_epinal,48661,48661,87,954,86.0,60.0,ok,0.0,True,0,380,0,,,0.0,51.01,0.0335,rotating,1
zebullo,22954,22954,87,274,86.0,60.0,ok,1.0,True,110,0,0,0.2455,0.1,1841.5,83.77,0.0,persistent,1
